date,price,fast_ma,slow_ma,signal
2025-09-12,115503.16663193036,111394.42247437879,114612.42361532258,0
2025-09-13,116160.14344594492,111434.43047331864,114568.53778075374,0
2025-09-14,115970.58488443034,111562.98229388271,114537.1333110252,0
2025-09-15,115373.55555886828,111822.39234987591,114485.41357533046,0
2025-09-16,115397.25272727507,112000.11948660936,114404.98034884763,0
2025-09-17,116762.8496864193,112277.45773111575,114380.17130225449,0
2025-09-18,116455.9464822532,112473.97518489351,114352.22405332678,0
2025-09-19,117145.49508952006,112907.23460604981,114338.46913751798,0
2025-09-20,115655.81046441344,113250.92726530763,114337.58529802311,0
2025-09-21,115715.51536781774,113624.03498750573,114387.20350269307,0
2025-09-22,115304.47999407038,113931.1247082131,114442.19505613013,0
2025-09-23,112696.74101711863,114006.45265414631,114412.14768318036,0
2025-09-24,112022.16587861197,114021.98495921437,114349.81727813857,0
2025-09-25,113320.56908541008,114151.77659461056,114333.66157807043,0
2025-09-26,108963.53013595636,114066.84404509413,114212.49026542337,0
2025-09-27,109710.20874667744,114041.89504118907,114057.42495013987,0
2025-09-28,109654.81021075726,113968.03593238493,113916.7538217178,1
2025-09-29,112142.57362752674,113973.90817470188,113829.40361562559,1
2025-09-30,114309.15041119448,114111.99371704417,113730.24812047338,1
2025-10-01,114024.22783550054,114114.43886408482,113635.2566850112,1
2025-10-02,118503.24451752484,114264.44275836456,113601.27087826107,1
2025-10-03,120611.71911591051,114487.02154186284,113542.2853878638,1
2025-10-04,122250.15186842805,114800.9998910627,113619.17650926758,1
2025-10-05,122380.93708463266,115151.36896735092,113719.99941291758,1
2025-10-06,123506.18520027678,115556.81559100102,113840.09878624411,1
2025-10-07,124773.50823074432,115957.34851821726,113984.71221330338,1
2025-10-08,121518.75593575073,116210.48899089215,114089.9590766702,1
2025-10-09,123352.50487523204,116520.83948017776,114301.44227746368,1
2025-10-10,121698.03066778315,116822.95049034625,114450.35493978027,1
2025-10-11,113201.74064138904,116697.2617540248,114466.10175514074,1
2025-10-12,110853.11663883904,116474.69358626322,114346.47909827708,1
2025-10-13,115189.5714637257,116599.3351085936,114343.07085820864,1
2025-10-14,115222.28302116522,116759.34096572125,114379.52554916895,1
2025-10-15,113156.56943826911,116751.14098336422,114438.94984915425,1
2025-10-16,110708.66960879424,116838.39795700609,114416.269041478,1
2025-10-17,108076.72862033188,116756.72395068881,114353.4819179588,1
2025-10-18,106443.61194984637,116596.16403764328,114231.84220882178,1
2025-10-19,107156.00337647724,116346.83552509078,114205.35614302344,1
2025-10-20,108621.134857428,116062.43474740248,114202.13969458688,1
2025-10-21,110608.5714932665,115891.65193029077,114249.24390597508,1
2025-10-22,108486.1026271664,115390.79483577286,114235.71224691994,1
2025-10-23,107618.4266715404,114741.13021355434,114164.27713838167,1
2025-10-24,110048.51827291628,114131.04853377875,114131.01710829498,1
2025-10-25,110997.80437129698,113561.89189811198,114136.47846817119,0
2025-10-26,111620.3093731354,112967.59810675491,114155.6410331082,0
2025-10-27,114476.01227508576,112452.723308972,114240.97750211434,0
2025-10-28,114182.79442806762,112085.92523358781,114301.99354293889,0
2025-10-29,112950.34863259472,111565.81742145595,114320.49793996701,0
2025-10-30,110046.66925837284,110983.24935098544,114290.48253384752,0
