date,price,fast_ma,slow_ma,signal,asset_return,position,gross_strategy_return,trade_flag,transaction_cost,net_strategy_return,equity_asset,equity_strategy_gross,equity_strategy_net
2025-09-21,115715.51536781774,113624.03498750573,114387.20350269307,0,0.0005162291731350965,0.0,0.0,0,0.0,0.0,1.227667990009946,1.1382203899331207,1.1337186638881485
2025-09-22,115304.47999407038,113931.1247082131,114442.19505613013,0,-0.0035521198038208635,0.0,-0.0,0,0.0,-0.0,1.2233071662301147,1.1382203899331207,1.1337186638881485
2025-09-23,112696.74101711863,114006.45265414631,114412.14768318036,0,-0.022616111508294012,0.0,-0.0,0,0.0,-0.0,1.1956407149497592,1.1382203899331207,1.1337186638881485
2025-09-24,112022.16587861197,114021.98495921437,114349.81727813857,0,-0.0059857555100391036,0.0,-0.0,0,0.0,-0.0,1.1884839019522215,1.1382203899331207,1.1337186638881485
2025-09-25,113320.56908541008,114151.77659461056,114333.66157807043,0,0.011590591885226376,0.0,0.0,0,0.0,0.0,1.202259133821911,1.1382203899331207,1.1337186638881485
2025-09-26,108963.53013595636,114066.84404509413,114212.49026542337,0,-0.038448791641434554,0.0,-0.0,0,0.0,-0.0,1.156033722886581,1.1382203899331207,1.1337186638881485
2025-09-27,109710.20874667744,114041.89504118907,114057.42495013987,0,0.0068525552521052635,0.0,0.0,0,0.0,0.0,1.1639555078459582,1.1382203899331207,1.1337186638881485
2025-09-28,109654.81021075726,113968.03593238493,113916.7538217178,1,-0.0005049533361849434,0.0,-0.0,0,0.0,-0.0,1.1633677646291005,1.1382203899331207,1.1337186638881485
2025-09-29,112142.57362752674,113973.90817470188,113829.40361562559,1,0.022687225594463012,1.0,0.022687225594463012,1,0.001,0.02168722559446301,1.189761351554567,1.164043452695751,1.158305876312544
2025-09-30,114309.15041119448,114111.99371704417,113730.24812047338,1,0.019319841819074535,1.0,0.019319841819074535,0,0.0,0.019319841819074535,1.2127473526690495,1.1865325880723623,1.180684162621007
2025-10-01,114024.22783550054,114114.43886408482,113635.2566850112,1,-0.002492561397482329,1.0,-0.002492561397482329,0,0.0,-0.002492561397482329,1.2097245054328878,1.1835750827464784,1.177741234854639
2025-10-02,118503.24451752484,114264.44275836456,113601.27087826107,1,0.03928127177047025,1.0,0.03928127177047025,0,0.0,0.03928127177047025,1.2572440224981947,1.2300674172325996,1.2240044083762533
2025-10-03,120611.71911591051,114487.02154186284,113542.2853878638,1,0.017792547427457617,1.0,0.017792547427457617,0,0.0,0.017792547427457617,1.2796135963963813,1.251953450092681,1.245782564863705
2025-10-04,122250.15186842805,114800.9998910627,113619.17650926758,1,0.013584357842897132,1.0,0.013584357842897132,0,0.0,0.013584357842897132,1.2969963253904662,1.2689604337613896,1.2627057210192558
2025-10-05,122380.93708463266,115151.36896735092,113719.99941291758,1,0.0010698163904563351,1.0,0.0010698163904563351,0,0.0,0.0010698163904563351,1.2983838733177304,1.2703179884322682,1.2640565842959253
2025-10-06,123506.18520027678,115556.81559100102,113840.09878624411,1,0.009194635557218778,1.0,0.009194635557218778,0,0.0,0.009194635557218778,1.3103220398462572,1.281998099377682,1.2756791239122292
2025-10-07,124773.50823074432,115957.34851821726,113984.71221330338,1,0.010261211034997553,1.0,0.010261211034997553,0,0.0,0.010261211034997553,1.323767530820928,1.2951529524218621,1.2887691366156333
2025-10-08,121518.75593575073,116210.48899089215,114089.9590766702,1,-0.026085283175452334,1.0,-0.026085283175452334,0,0.0,-0.026085283175452334,1.2892366799209949,1.2613685209024148,1.2551512287392312
2025-10-09,123352.50487523204,116520.83948017776,114301.44227746368,1,0.015090254383865354,1.0,0.015090254383865354,0,0.0,0.015090254383865354,1.3086915893820128,1.2804028927546323,1.2740917800711273
2025-10-10,121698.03066778315,116822.95049034625,114450.35493978027,1,-0.013412570819882008,1.0,-0.013412570819882008,0,0.0,-0.013412570819882008,1.2911386707580426,1.263229398277579,1.2570029338398938
2025-10-11,113201.74064138904,116697.2617540248,114466.10175514074,1,-0.06981452353643813,1.0,-0.06981452353643813,0,0.0,-0.06981452353643813,1.2009984396395998,1.1750376397196085,1.1692458729299569
2025-10-12,110853.11663883904,116474.69358626322,114346.47909827708,1,-0.02074724283604601,1.0,-0.02074724283604601,0,0.0,-0.02074724283604601,1.1760810333666847,1.1506588484668514,1.1449872448692344
2025-10-13,115189.5714637257,116599.3351085936,114343.07085820864,1,0.03911892562312791,1.0,0.03911892562312791,0,0.0,0.03911892562312791,1.2220880598377275,1.1956713863776203,1.1897779157407042
2025-10-14,115222.28302116522,116759.34096572125,114379.52554916895,1,0.000283980199108802,1.0,0.000283980199108802,0,0.0,0.000283980199108802,1.2224351086482887,1.1960109333759925,1.1901157891101115
2025-10-15,113156.56943826911,116751.14098336422,114438.94984915425,1,-0.017928073708769143,1.0,-0.017928073708769143,0,0.0,-0.017928073708769143,1.200519201916255,1.174568761205934,1.1687793055209754
2025-10-16,110708.66960879424,116838.39795700609,114416.269041478,1,-0.02163285650693303,1.0,-0.02163285650693303,0,0.0,-0.02163285650693303,1.174548542287383,1.1491594837372399,1.1434952705163672
2025-10-17,108076.72862033188,116756.72395068881,114353.4819179588,1,-0.023773576159506926,1.0,-0.023773576159506926,0,0.0,-0.023773576159506926,1.146625323064276,1.1218398532311928,1.1163102986147104
2025-10-18,106443.61194984637,116596.16403764328,114231.84220882178,1,-0.015110715242155126,1.0,-0.015110715242155126,0,0.0,-0.015110715242155126,1.1292989943180076,1.1048880506617151,1.0994420515704584
2025-10-19,107156.00337647724,116346.83552509078,114205.35614302344,1,0.0066926649103802305,1.0,0.0066926649103802305,0,0.0,0.0066926649103802305,1.1368570140706074,1.1122826961482772,1.1068002488100004
2025-10-20,108621.134857428,116062.43474740248,114202.13969458688,1,0.013672882851026413,1.0,0.013672882851026413,0,0.0,0.013672882851026413,1.1524011268423624,1.1274908071499365,1.1219333989514664
2025-10-21,110608.5714932665,115891.65193029077,114249.24390597508,1,0.01829696070149822,1.0,0.01829696070149822,0,0.0,0.01829696070149822,1.1734865649725594,1.1481204621396595,1.1424613702617796
2025-10-22,108486.1026271664,115390.79483577286,114235.71224691994,1,-0.019189008929830664,1.0,-0.019189008929830664,0,0.0,-0.019189008929830664,1.1509685207982647,1.1260891683391403,1.1205386688258399
2025-10-23,107618.4266715404,114741.13021355434,114164.27713838167,1,-0.007998037855668438,1.0,-0.007998037855668438,0,0.0,-0.007998037855668438,1.1417630309982374,1.1170826645419056,1.1115765581338304
2025-10-24,110048.51827291628,114131.04853377875,114131.01710829498,1,0.022580627468125947,1.0,0.022580627468125947,0,0.0,0.022580627468125947,1.167544756658087,1.1423070920410279,1.1366766542953521
2025-10-25,110997.80437129698,113561.89189811198,114136.47846817119,0,0.008626068876516069,1.0,0.008626068876516069,0,0.0,0.008626068876516069,1.1776160781454348,1.1521607116951065,1.1464817054056318
2025-10-26,111620.3093731354,112967.59810675491,114155.6410331082,0,0.005608264103640126,0.0,0.0,1,0.001,-0.001,1.1842204601243673,1.1521607116951065,1.1453352237002261
2025-10-27,114476.01227508576,112452.723308972,114240.97750211434,0,0.025584079796840742,0.0,0.0,0,0.0,0.0,1.2145176508732407,1.1521607116951065,1.1453352237002261
2025-10-28,114182.79442806762,112085.92523358781,114301.99354293889,0,-0.0025613911699993164,0.0,-0.0,0,0.0,-0.0,1.2114067960864856,1.1521607116951065,1.1453352237002261
2025-10-29,112950.34863259472,111565.81742145595,114320.49793996701,0,-0.010793620892237898,0.0,-0.0,0,0.0,-0.0,1.1983313303832475,1.1521607116951065,1.1453352237002261
2025-10-30,110046.66925837284,110983.24935098544,114290.48253384752,0,-0.025707573366302472,0.0,-0.0,0,0.0,-0.0,1.1675251397902813,1.1521607116951065,1.1453352237002261
